a,b,output
5,53,58
83,20,6
79,36,18
45,78,26
77,66,46
94,64,61
86,3,89
39,37,76
66,54,23
20,50,70
96,95,94
65,93,61
91,90,84
92,5,0
17,30,47
4,86,90
80,51,34
80,66,49
41,50,91
3,37,40
63,55,21
84,65,52
49,61,13
90,5,95
72,18,90
79,91,73
12,39,51
41,68,12
1,18,19
17,28,45
17,62,79
54,21,75
30,60,90
18,78,96
96,30,29
90,2,92
56,33,89
34,30,64
6,15,21
87,30,20
60,73,36
1,96,0
83,28,14
45,72,20
19,25,44
94,85,82
86,52,41
84,16,3
17,91,11
14,39,53
11,74,85
29,21,50
79,84,66
0,23,23
38,77,18
30,71,4
18,49,67
94,89,86
96,82,81
9,40,49
28,4,32
76,77,56
32,27,59
71,41,15
33,58,91
73,27,3
83,73,59
57,55,15
34,43,77
64,24,88
25,31,56
94,75,72
55,90,48
58,16,74
13,15,28
52,94,49
30,77,10
12,35,47
81,75,59
12,38,50
44,75,22
91,30,24
23,27,50
17,42,59
40,84,27
51,1,52
37,15,52
78,35,16
28,9,37
2,75,77
48,85,36
68,75,46
15,45,60
80,13,93
23,44,67
30,93,26
67,32,2
5,6,11
18,14,32
52,19,71
24,15,39
79,5,84
16,54,70
20,79,2
66,87,56
36,4,40
15,34,49
3,93,96
30,67,0
78,26,7
27,95,25
93,60,56
18,50,68
40,72,15
91,65,59
80,72,55
66,49,18
64,11,75
65,4,69
47,54,4
21,43,64
36,82,21
24,57,81
55,33,88
48,39,87
71,83,57
12,59,71
73,75,51
32,11,43
50,77,30
67,7,74
2,90,92
96,91,90
44,72,19
92,66,61
41,32,73
50,7,57
1,38,39
22,41,63
67,72,42
51,77,31
5,70,75
33,52,85
10,15,25
95,21,19
54,1,55
47,85,35
57,72,32
89,55,47
49,45,94
43,30,73
84,68,55
39,21,60
40,59,2
34,19,53
5,2,7
65,0,65
30,53,83
76,43,22
72,79,54
94,10,7
65,75,43
77,20,0
87,57,47
77,48,28
16,56,72
26,41,67
76,29,8
89,15,7
78,79,60
5,8,13
68,37,8
31,85,19
27,75,5
59,13,72
36,21,57
67,62,32
4,43,47
38,20,58
52,37,89
40,24,64
29,96,28
58,10,68
92,51,46
72,61,36
84,55,42
45,25,70
82,46,31
67,75,45
70,45,18
9,9,18
12,18,30
53,18,71
22,73,95
54,63,20
16,17,33
28,57,85
14,55,69
75,93,71
27,43,70
62,8,70
27,91,21
22,80,5
18,21,39
89,76,68
63,5,68
9,46,55
3,29,32
95,90,88
37,41,78
93,29,25
53,25,78
43,3,46
84,13,0
85,39,27
49,51,3
26,26,52
49,52,4
15,38,53
1,90,91
40,12,52
18,83,4
96,81,80
95,58,56
31,84,18
46,83,32
56,89,48
38,43,81
30,4,34
9,31,40
1,44,45
46,2,48
90,62,55
39,91,33
86,2,88
5,12,17
53,23,76
57,92,52
62,14,76
21,34,55
32,21,53
57,58,18
85,24,12
19,83,5
24,74,1
70,0,70
48,78,29
73,73,49
84,22,9
2,30,32
10,18,28
43,91,37
46,4,50
36,95,34
48,21,69
3,84,87
62,16,78
72,13,85
48,80,31
68,71,42
19,31,50
23,45,68
76,81,60
88,1,89
1,28,29
38,75,16
63,47,13
91,32,26
8,51,59
69,48,20
17,31,48
83,29,15
23,38,61
16,21,37
29,24,53
65,67,35
84,60,47
20,68,88
63,9,72
81,77,61
37,59,96
1,31,32
91,47,41
39,14,53
64,47,14
20,44,64
74,68,45
40,79,22
85,42,30
73,74,50
53,14,67
95,29,27
43,70,16
42,13,55
69,6,75
45,2,47
82,37,22
64,86,53
19,61,80
28,34,62
95,77,75
38,46,84
93,11,7
72,44,19
41,22,63
33,72,8
0,37,37
55,73,31
66,30,96
43,82,28
43,5,48
10,48,58
40,13,53
77,95,75
8,20,28
48,63,14
40,68,11
56,15,71
0,27,27
16,19,35
44,1,45
82,21,6
10,61,71
18,91,12
82,85,70
82,4,86
15,84,2
69,26,95
24,73,0
70,53,26
67,56,26
44,45,89
37,84,24
81,46,30
21,74,95
48,42,90
67,8,75
61,88,52
86,25,14
82,23,8
77,69,49
4,10,14
2,53,55
23,64,87
71,69,43
22,84,9
34,1,35
67,47,17
69,20,89
12,48,60
91,45,39
37,56,93
68,91,62
53,2,55
18,12,30
36,15,51
84,53,40
70,4,74
30,90,23
49,23,72
75,31,9
56,88,47
86,37,26
14,15,29
96,74,73
7,59,66
13,67,80
37,50,87
43,18,61
32,17,49
51,38,89
1,43,44
52,13,65
4,2,6
37,72,12
94,20,17
86,34,23
41,40,81
69,87,59
34,89,26
19,69,88
77,56,36
57,3,60
96,62,61
43,80,26
81,11,92
24,69,93
52,79,34
87,44,34
93,28,24
95,57,55
24,89,16
35,67,5
87,48,38
51,5,56
67,54,24
12,9,21
93,68,64
5,44,49
0,91,91
72,72,47
75,28,6
75,69,47
13,85,1
38,34,72
41,84,28
94,67,64
84,47,34
37,75,15
84,33,20
16,39,55
0,38,38
58,41,2
36,63,2
38,76,17
57,79,39
56,85,44
18,61,79
83,94,80
25,69,94
51,46,0
19,92,14
56,77,36
72,26,1
4,73,77
54,76,33
94,29,26
28,78,9
88,89,80
7,60,67
47,95,45
81,21,5
94,86,83
18,84,5
31,37,68
32,80,15
73,49,25
11,21,32
49,7,56
71,9,80
7,50,57
84,27,14
25,40,65
38,88,29
42,43,85
27,93,23
80,21,4
44,57,4
5,14,19
47,20,67
17,0,17
62,11,73
29,40,69
85,53,41
35,73,11
58,44,5
65,86,54
42,11,53
73,57,33
1,5,6
81,66,50
77,85,65
93,81,77
68,49,20
55,35,90
17,3,20
3,58,61
41,9,50
77,19,96
29,19,48
12,57,69
67,83,53
48,64,15
40,53,93
90,1,91
26,23,49
95,15,13
74,84,61
3,0,3
34,86,23
51,42,93
33,46,79
6,60,66
55,96,54
29,95,27
25,0,25
40,38,78
18,31,49
86,69,58
86,70,59
56,72,31
77,28,8
96,63,62
1,50,51
29,89,21
68,50,21
82,44,29
41,37,78
59,70,32
92,55,50
76,91,70
2,27,29
78,38,19
15,12,27
14,32,46
29,68,0
41,66,10
10,92,5
38,68,9
45,60,8
1,65,66
7,20,27
88,69,60
72,16,88
51,65,19
25,93,21
45,29,74
47,65,15
57,33,90
63,67,33
61,24,85
64,37,4
35,0,35
85,63,51
42,29,71
38,79,20
93,13,9
35,60,95
94,70,67
35,94,32
50,42,92
83,51,37
11,51,62
33,8,41
71,42,16
64,53,20
38,22,60
17,65,82
31,31,62
14,10,24
48,61,12
16,20,36
93,10,6
21,54,75
4,72,76
68,78,49
7,45,52
80,59,42
67,49,19
44,79,26
82,91,76
16,81,0
64,7,71
22,20,42
54,86,43
85,37,25
37,71,11
84,48,35
3,63,66
85,1,86
58,3,61
83,87,73
39,60,2
27,35,62
56,37,93
24,44,68
76,10,86
49,30,79
16,71,87
55,11,66
15,27,42
60,30,90
28,95,26
